GID,symbol,name,length,phenotype,function
YBR061C,TRM7,Transfer RNA Methyltransferase,933,"Non-essential gene; null mutant is sensitive to H2O2; trm7-A26P disease-analogous mutation causes reduced 2'-O-methylation of the anticodon loop of tRNA-Phe; in large-scale studies, the null mutant displays shorter chronological lifespan, decreased competitive fitness, poor growth on galactose, increased transposition of transposable elements, and altered resistance to a variety of chemicals
",tRNA methyltransferase that catalyzes the posttranscriptional addition of methyl groups to specific residues in tRNA molecules; activity required for cytoplasmic translation
YDR487C,RIB3,RIBoflavin biosynthesis,627,,
YBL055C,,,1257,,
YGR276C,RNH70,RNase H,1662,,
YLR059C,REX2,Rna EXonuclease,810,,
YDR035W,ARO3,AROmatic amino acid requiring,1113,"Non-essential gene; in systematic studies null mutant is sensitive to ethanol and shows decreased competitive fitness
",
YBR249C,ARO4,AROmatic amino acid requiring,1113,"Non-essential gene; in systematic studies null mutant shows decreased competitive fitness and decreased ability to utilize galactose as carbon source
",
YML126C,ERG13,ERGosterol biosynthesis,1476,"Essential gene; conditional (ts) mutations cause ergosterol auxotrophy at permissive temperatures; depletion leads to abnormal mitochondrial morphology; reduction-of-function mutations result in increased sensitivity to benomyl, hydroxyurea and rapamycin; overexpression causes slow growth and increased resistance to doxorubicin
",
YJR025C,BNA1,Biosynthesis of Nicotinic Acid,534,Non-essential gene; null mutant is auxotrophic for nicotinic acid and grows slowly; in systematic studies null mutants show increased sensitivity to His3p inhibitor amitrole and to calcium chelator BAPTA,3-hydroxyanthranilic acid dioxygenase involved in de novo NAD biosynthesis from tryptophan; localizes to the cytoplasm
YKL218C,SRY1,Serine Racemase of Yeast,981,,
YDR036C,EHD3,,1503,,"Component of the small subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion; catalyzes the hydrolysis of 3-hydroxyisobutyryl-CoA"
YBR265W,TSC10,Temperature-sensitive Suppressors of Csg2 mutants,963,"Essential gene; diploid heterozygous null mutant is sensitive to dihydromotuporamine C; in large-scale studies, repression confers lower competitive fitness, sensitivity to HU and MMS, and resistance to myriocin; diploid heterozygous null mutant is sensitive to a human cationic antimicrobial peptide
","3-ketosphinganine reductase of the chemical reactions and pathways involving 3-keto-dihydrosphingosine; also involved in the formation of sphingolipids; localizes to lipid particles, endoplasmic reticulum, and outer membranes of mitochondria"
YLR100W,ERG27,ERGosterol biosynthesis,1044,"Essential gene under standard conditions; null mutant can grow when supplied with ergosterol; repression causes abnormal mitochondrial morphology and sensitivity to hydroxyurea; conditional mutation confers resistance to K28 killer toxin
",3-keto sterol reductase involved in ergosterol biosynthesis; localizes to endoplasmic reticulum membrane and lipid bodies and to mitochondrial outer membrane in high-throughput studies
YOL151W,GRE2,Genes de Respuesta a Estres (stress responsive genes),1029,,
YPR167C,MET16,METhionine requiring,786,,
YIL074C,SER33,SERine requiring,1410,,3-phosphoglycerate dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; 3-phosphoglycerate dehydrogenase that converts alpha-ketoglutarate to D-2-hydroxyglutarate; localizes to the cytoplasm
YER081W,SER3,SERine requiring,1410,,3-phosphoglycerate dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; 3-phosphoglycerate dehydrogenase that converts alpha-ketoglutarate to D-2-hydroxyglutarate; localizes to the cytoplasm
YCR012W,PGK1,3-PhosphoGlycerate Kinase,1251,"Essential gene under standard conditions; null mutant is unable to utilize glucose, galactose, or glycerol carbon sources but can grow on ethanol; overexpression confers increased growth rate; in large-scale studies, mutants exhibit chromosome instability and reduced starvation resistance
","Phosphoglycerate kinase involved in glycolysis and gluconeogenesis; localizes to the plasma membrane, mitochondria, and cytoplasm"
YOR184W,SER1,SERine requiring,1188,,
YER183C,FAU1,Folinic Acid Utilization,636,,"Methenyltetrahydrofolate synthetase involved in folic acid-containing compound biosynthesis; predicted to localize to cytoplasm, localizes to mitochondrion in high-throughput studies"
YDR232W,HEM1,HEMe biosynthesis,1647,,
YPR118W,MRI1,MethylthioRibose-1-phosphate Isomerase,1236,,A S-methyl-5-thioribose-1-phosphate isomerase involved in the generation of L-methionine from methylthioadenosine; cellular process unknown
YJR024C,MDE1,Methylthioribulose-1-phosphate DEhydratase,735,,
YHL011C,PRS3,PhosphoRibosylpyrophosphate Synthetase,963,,"Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity"
YOL061W,PRS5,PhosphoRibosylpyrophosphate Synthetase,1491,,"Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity"
YER099C,PRS2,PhosphoRibosylpyrophosphate Synthetase,957,,"Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity"
YKL181W,PRS1,PhosphoRibosylpyrophosphate Synthetase,1284,,"Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity"
YBL068W,PRS4,PhosphoRibosylpyrophosphate Synthetase,981,,"Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity"
YER171W,RAD3,RADiation sensitive,2337,"Essential gene; point mutations result in increased mitotic recombination, elevated mutation frequence, and increased UV sensititvity
","ATP-dependent 5'-3' DNA helicase involved in transcription by polymerase II and positive regulation of mitotic recombination; contributes to DNA incision involved in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, regulation of RNA-mediated transposition; subunit of core TFIIH complex"
YKL113C,RAD27,RADiation sensitive,1149,"Non-essential gene; null mutant displays sensitivity to agents affecting DNA metabolism such as 5-fluorouracil, MMS, and UV light; null mutant has elevated mutation frequency, decreased replicative lifespan, and abnormal nuclear morphology; in large-scale studies null mutant displays decreased competitive fitness, chronological lifespan, and filamentous growth, and is sensitive to heat, oxidative stress, metals, and various chemicals
","5-3 exonuclease and 5-flap endonuclease involved in base-free sugar phosphate removal as a part of base-excision repair, DNA repair synthesis during gene conversion at the mating-type locus, removal of RNA primers during DNA replication, maintenance of DNA trinucleotide repeats, and non-homologous end joining; also involved in replicative cell aging; localizes to the nucleus, mitochondrion, and cytosol"
YOL136C,PFK27,6-PhosphoFructo-2-Kinase,1194,,
YHR183W,GND1,6-phosphoGlucoNateDehydrogenase,1470,,Phosphogluconate dehydrogenase (decarboxylating); involved in the oxidative branch of the pentose phosphate pathway; localizes to the cytoplasm and mitochondrion in high-throughput studies
YHR163W,SOL3,Suppressor Of Los1-1,750,,
YJR142W,,,1029,,
YDL126C,CDC48,Cell Division Cycle,2508,"Essential gene; conditional mutations cause cell cycle arrest, abnormal cell morphology, aggregation of mitochondria, elongated spindles that fail to disassemble, sensitivity to cell wall-affecting drugs and oxidative stress; overexpression leads to slow growth
","ATPase, a component of several multiprotein ATPase complexes involved in the release of polyubiquitinated proteins; part of the ER-associated ubiquitin-dependent protein degradation system, stress-induced homeostatically regulated protein degradation (SHRED) pathway; also plays a role in mitotic spindle disassembly, autophagy, ER membrane fusion, retrograde protein transport; localized throughout the cell"
YBR080C,SEC18,SECretory,2277,"Essential gene; conditional mutants are defective in protein secretion and show abnormal ER morphology; overexpression in Sigma127b reduces filamentous/invasive growth
",
YPR173C,VPS4,Vacuolar Protein Sorting,1314,"Non-essential gene; null mutant displays defective trafficking of MVB cargo proteins, missorting cargo to the limiting vacuolar membrane and class E compartment rather than the vacuolar lumen; null mutant has decreased endocytosis, secretion defects and abnormal vacuolar morphology; null mutant also displays decreased acid pH resistance, decreased autophagy and starvation resistance while a gain-of-function mutant induces autophagy in rich medium; overexpression results in increased invasive filamentation while a null mutant is unable to undergo invasive growth; diploid null mutants have a severe sporulation defect
","ATPase with homodimerization activity; involved in late endosome to vacuole transport via the multivesicular body sorting pathway, intralumenal vesicle formation, macroautophagy, sterol metabolism, and protein retention in the Golgi apparatus; localizes to the endosome and membrane"
YLL015W,BPT1,Bile Pigment Transporter,4680,"Non-essential gene; null mutant is auxotrophic for myo-inositol; null mutant displays decreased competitive fitness in minimal medium, respiratory growth medium and synthetic oak exudate but increased fitness in synthetic complete medium; null mutant displays increased survival following a ramped heat stimulus; null mutant has decreased resistance to lead treatment; heterozygous diploid null is haploinsufficient",
YDL121C,EXP1,ER eXport of Pma1,450,,Protein whose biological role is unknown; localizes to the endoplasmic reticulum
YIL139C,REV7,REVersionless,738,,
YLR355C,ILV5,IsoLeucine-plus-Valine requiring,1188,,
YMR108W,ILV2,IsoLeucine-plus-Valine requiring,2064,,"Acetolactate synthase; FAD binding protein involved in the biosynthesis of branched chain amino acids (isoleucine, valine and leucine); subunit of the acetolactate synthase complex; localizes to the mitochondrion in high-throughput studies"
YDR517W,GRH1,GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog,1119,,
YPL028W,ERG10,ERGosterol biosynthesis,1197,"Essential gene; mutants require ergosterol; in large-scale studies, repression confers G2-phase cell cycle delay, increased chromosome instability, decreased competitive fitness, and abnormal mitochondrial morphology; heterozygous null mutant is sensitive to hydroxyurea
",Acetyl-CoA C-acetyltransferase that contributes to ergosterol biosynthesis; localizes to cytoplasm
YNR016C,ACC1,Acetyl-CoA Carboxylase,6702,"Essential gene; conditional mutants accumulate poly(A) RNA in the nucleus; overexpression leads to increased lipid accumulation; reduction of function results in chromosome instability, decreased competitive fitness, heat sensitivity
",Acetyl-CoA carboxylase involved in long-chain fatty acid biosynthesis; plays a role in protein import into nucleus; localizes in the endoplasmic reticulum
YLR153C,ACS2,Acetyl CoA Synthetase,2052,"Non-essential gene; null mutant is capable of respiratory growth on non-fermentable carbon sources, but incapable of fermentative growth on glucose as a carbon source
","Acetyl-CoA ligase with roles in acetyl-CoA synthesis, histone acetylation and replicative cell aging; localizes to the nucleus and cytosol"
YER069W,"ARG5,6",ARGinine requiring,2592,"Non-essential gene; mutation results in arginine autotrophy; null mutant has decreased competitive fitness in synthetic medium and is unable to use allantoin as nitrogen source; heterozygous diploid displays decreased starvation resistance; null has an endocytosis defect; heterozygous diploid null is haploinsufficient
","Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase involved in arginine, ornithine biosynthesis and regulation of transcription; localized to the mitochondrial matrix"
YJL071W,ARG2,ARGinine requiring,1725,"Non-essential gene; null mutant is auxotrophic for arginine and is unable to use allantoin as nitrogen source; null mutant has decreased competitive fitness in synthetic media but increased fitness in media containing glycerol or ethanol; null has decreased resistance to alpha-synuclein expression, and accumulates increased reactive oxygen species (ROS), while overexpression decreases the accumulation of ROS associated associated with alpha-synuclein expression; systematic null mutant has decreased telomere length and increased metal reductase activity
",N-acetylglutamate synthase involved in arginine and ornithine biosynthesis; localized to the mitochondrial matrix
YOL140W,ARG8,ARGinine requiring,1272,"Non-essential gene; null mutant displays decreased biofilm formation, decreased resistance to flucytosine and smaller and smoother colonies when cells were grown on sucrose containing media
",N-acetylornithine aminotransferase involved in arginine and ornithine biosynthesis; localized to the mitochondrial matrix
YDR051C,DET1,Decreased Ergosterol Transport,1005,Non-essential gene; null mutation changes temperature sensitivity and decreased accumulation of sterols; mutants in competitive growth experiments show decreased fitness and increased chronological lifespan ,
YMR009W,ADI1,Acireductone DIoxygenase,540,"Non-essential gene; null mutants show increased competitive fitness, have abnormal vacuolar morphology, are sensitive to UV and to desiccation; heterozygous diploid nulls are haploinsufficient
",Nickel-requiring acireductone dioxygenase involved in the regeneration of methionine from methylthioadenosine; localizes to both the nucleus and cytoplasm
YLR304C,ACO1,ACOnitase,2337,"Non-essential gene; null mutant shows glutamate auxotrophy, sensitivity to hyperosmotic stress, increased accumulation of iron in the mitochondria, loss of mitochondrial genome and deficiency in respiratory growth
",Aconitate hydratase with role in tricarboxylic acid (TCA) cycle and mitochondrial genome maintenance; also shows DNA binding activity; localized to mitochondria and cytosol
YFL039C,ACT1,ACTin,1437,"Essential gene; conditional mutants show pleiotropic defects including abnormal actin cytoskeleton, chromosome instability, altered subcellular morphology, increased sensitivity to heat, multiple chemicals and osmotic stress; overexpression leads to growth arrest
",Structural constituent of the cytoskeleton; involved in cell polarity and actomyosin contractile ring assembly during cell division
YOR181W,LAS17,,1902,"Non-essential gene; null mutant grows slowly and displays abnormal actin cytoskeleton morphology, decreased cytokinesis, defective endocytosis, sensitivity to osmotic stress, and random budding pattern
","Actin-binding protein involved in actin filament organization and polymerization, actin nucleation, and actin cortical patch localization; also involved in positive regulation of actin filament bundle assembly and Arp2/3 complex-mediated actin nucleation; localized to actin cortical patches"
YHR016C,YSC84,,1575,,
YCR088W,ABP1,Actin Binding Protein,1779,"Non-essential gene; null mutant has abnormalities in actin cytoskeleton morphology, decreased endocytosis and blocked filamentous growth; in diploids, homozygous null mutant shows reduced sporulation efficiency; overexpression causes reduced growth rate; in systematc studies, null mutant is sensitive to caffeine, camptothecin, bleomycin and cycloheximide, but resistant to hygromycin B, spermine and tetramethylammonium
",Actin-binding protein that activates actin nucleation mediated by the Arp2/Arp3 complex; required for the localization of protein kinases Ark1p and Prk1p and polyphosphatidylinositol phosphatase Inp52p to actin cortical patches; inhibits actin filament elongation at the barbed-end; localizes to actin cortical patches and in high-throughput studies to shmoo tips
YMR092C,AIP1,Actin Interacting Protein,1848,"Non-essential gene; null mutant shows defects in actin cytoskeleton and cytokinesis, and increased sensitivity to ethanol; in systematic studies null mutant is auxotrophic for inositol and displays defective endocytosis and sensitivity to hyperosmotic stress; overexpression in Sigma1278b leads to increased filamentous growth
",Protein that binds actin filaments; positively regulates actin filament depolymerization and negatively regulates cytokinesis; localizes to actin filaments and cortical patches
YLR085C,ARP6,Actin-Related Protein,1317,"Non-essential gene; null mutant has slightly disorganized actin filaments, and abnormal vacuolar morphology with a large vacuolar lobe surrounded by many smaller lobes; null mutant has an increased frequency of spontaneous interchromosomal heteroallelic recombination and an increased frequency of spontaneous and MMS-induced unequal sister chromatid recombination; null mutant has increased chronological lifespan under both nitrogen starvation and nitrogen-rich conditions; null mutant is desiccation sensitive; heterozygous null mutant is haploproficient
",
YGL115W,SNF4,Sucrose NonFermenting,969,,
YFL034C-B,MOB2,Mps One Binder,978,,
YBL061C,SKT5,,2091,,
YGR037C,ACB1,Acyl-CoA-Binding,264,"Non-essential gene; null mutant shows extended replicative lifespan under caloric restrictions; in large-scale surveys, null mutation causes increased frequency of mitochondrial genome loss and decreased competitive fitness; null mutant shows greatly decreased filamentous growth and absent invasive growth in Sigma1278b
",
YCR048W,ARE1,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,1833,"Non-essential gene; null mutant shows reduced amounts of sterol esters; in systematic studies null mutants show reduced competitive fitness, increased resistance to selenomethionine and decreased endocytosis
",
YNR019W,ARE2,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,1929,"Non-essential gene; null mutant shows abnormalities in cell wall, sensitivity to caffeine, and reduced sporulation efficiency in diploid; overexpression causes slow growth
",
YBR177C,EHT1,Ethanol Hexanoyl Transferase,1356,,
YPL095C,EEB1,Ethyl Ester Biosynthesis,1371,"Non-essential gene; null mutant contains reduced levels of medium-chain fatty acid ethyl esters; in large-scale studies null mutant has lower rate of anaerobic growth and is sensitive to oxidative stress, amitrole and cicloheximide; null mutant in Sigma1278b is incapable of invasive growth and shows decreased filamentous growth
",
YLR118C,TML25,"acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa",684,,
YBR042C,CST26,Chromosome STability,1194,Non-essential gene; null mutant has lower phospholipid content and elevated contents of triglycerides and sterol esters; overexpression causes increased frequency of chromosome loss and altered chromosome stability; in systematic studies mutation reduces competitive fitness,"Acyltransferase involved in remodeling of fatty acid acyl chains in one of the main phospholipids, phosphatidylinositol; localized to membranes and lipid droplets"
YNR008W,LRO1,Lecithin cholesterol acyl transferase Related Open reading frame,1986,,
YCL032W,STE50,STErile,1041,,"Cytoplasmic SAM-domain-binding protein kinase regulator involved in osmosensory signalling, pheromone-dependent signal transduction, and mating"
YPL254W,HFI1,Histone H2A Functional Interactor,1467,,
YNL243W,SLA2,Synthetic Lethal with ABP1,2907,,
YNL141W,AAH1,Adenine AminoHydrolase,1044,"Non-essential gene; null mutant displays a decreased growth rate, decreased competitive fitness in minimal media, decreased starvation resistance and increased cold sensitivity; null mutant has increased sensitivity to mutagenic purine base analogs, and displays decreased accumulation of hypoxanthine, inosine and IMP; overexpression results in an increase in the proportion of cells with a 1N DNA content, indicative of a G1 arrest or delay; heterozygous null mutant is haploinsufficient
",An adenine deaminase involved in catabolism of adenine and salvage of hypoxanthine and purine-containing compounds
YML022W,APT1,Adenine PhosphoribosylTransferase,564,"Non-essential gene; null mutant is resistant to adenine analog 8-azaadenine; in systematic studies null mutants show reduced competitive fitness and sensitivity to hydroxyurea, MMS, DTT, flucytosine
",
YDL125C,HNT1,Histidine triad NucleoTide-binding,588,"Non-essential gene; null mutant is sensitive to cicloheximide and streptomycin, and shows decreased competitive fitness
",Adenosine monophosphoramidase involved in nucleotide metabolism; localizes to nucleus and cytoplasm in high-throughput studies
YJR105W,ADO1,ADenOsine kinase,1023,"Non-essential gene; null mutant shows increased accumulation of glycogen and resistance to adenosine analog cordycepin; in systematic studies, null mutant shows reduced growth rate and lower competitive fitness, smaller peroxisomes, sensitivity to tunicamycin, caspofungin and myriocin, and increased resistance to hydroxyurea
",
YDR226W,ADK1,ADenylate Kinase,669,"Non-essential gene; null mutant displays slow growth and inability to utilize non-fermentable carbon sources (glycerol, lactate); also shows depleted pool of ADP and ATP, increased accumulation of ethanol and glycerol, inositol auxotrophy and delayed progression through G1 phase of the cell cycle
",Adenylate kinase that transfers phosphate from ATP to AMP; involved in the initiation of DNA-dependent DNA replication; localizes to both the cytoplasm and mitochondrial intermembrane space
YLR359W,ADE13,ADEnine requiring,1449,Essential gene in S288C; reduction-of-function mutations result in adenine auxotrophy,Adenylosuccinase involved in purine nucleotide and de novo inosine monophosphate (IMP) biosynthetic processes; cellular location is unknown
YNL220W,ADE12,ADEnine requiring,1302,"Non-essential gene; null mutant displays adenine auxotrophy, forms red colonies, accumulates hypoxanthine and inosine, and is sensitive to purine analogs
","Adenylosuccinate synthase involved in purine nucleotide biosynthesis; localized to the cytoplasm, also binds to the DNA replication origin"
YKL001C,MET14,METhionine requiring,609,"Non-essential gene; null mutant displays methionine auxotrophy, decreased endocytosis and reduced competitive fitness
",ATP sulfurylase involved in sulfur amino acid metabolism and sulfate assimilation; localizes to cytoplasm in high-throughput studies
YGL032C,AGA2,a-AGglutinin,264,"Non-essential gene; null mutant shows reduced mating efficiency, elevated sensitivity to copper, and increased resistance to Calcofluor White
",Cell adhesion protein involved in agglutination during mating; localizes to cell wall
YIL110W,HPM1,Histidine Protein Methyltransferase,1134,,
YCL054W,SPB1,Suppressor of PaB1 mutant,2526,,
YBR261C,TAE1,Translation Associated Element,699,,
YOR239W,ABP140,Actin Binding Protein,1888,"Non-essential gene; null mutant lacks 3-methylcytidine modification on tRNA-Thr and tRNA-Ser; overexpression decreases growth rate and competitive fitness in S288C but increases pseudohyphal growth in Sigma1278b
",
YDL137W,ARF2,ADP-Ribosylation Factor,546,"Non-essential gene; null mutants have abnormal vacuolar morphology, decreased competitive fitness, are impaired in the use of arginine as a nitrogen source, sensitive to antimalarial mefloquine and the histone deacetylase inhibitor CG-1521, resistant to acetic acid; conditional mutants are sensitive to cold; overexpression slows vegetative growth in strain S288C, increases filamentous growth in strain Sigma1278b, arrests cell cycle progression at G2 or M phase in strain W303
","GTPase that acts as ADP ribosylation factor (ARF); involved regulation of vesicle formation in ER to Golgi and Golgi to plasma membrane vesicular transport, and in macroautophagy; localizes in Golgi"
YDL192W,ARF1,ADP-Ribosylation Factor,546,"Non-essential gene; null mutant is temperature sensitive for growth, is a myo-inositol auxotroph, and displays decreased competitive fitness and growth rate; null mutant has protein processing/trafficking defects, and displays decreased replicative and chronological lifespans, survival rate in stationary phase, mitophagy, desiccation resistance and shortened telomeres; overexpression results in a G2 or M phase delay
","GTPase that acts as ADP ribosylation factor (ARF); involved regulation of vesicle formation in ER to Golgi and Golgi to plasma membrane vesicular transport, and in macroautophagy; localizes in Golgi"
YDR524C,AGE1,Arf Gap with Effector function(s),1449,"Non-essential gene; in large-scale studies, null mutant shows sensitivity to cycloheximide, streptomycin and glyoxal; heterozygous null mutation in diploid causes chromosome instability
",A GTPase activator that binds phospholipids; involved in ER to Golgi vesicle-mediated transport; localized to the endosome and trans-Golgi network
YIL044C,AGE2,ArfGAP Effector,897,"Non-essential gene; in systematic studies, homozygous null mutant diploid shows inositol auxotrophy and sensitivity to bafilomycin and phleomycin; null mutants also show sensitivity to bleomycin, caffeine, cycloheximide, azoles, mycophenolic acid; null mutant has opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline)
",A GTPase activator that binds phospholipids; involved in ER to Golgi vesicle-mediated transport
YDL226C,GCS1,Growth Cold Sensitive,1059,,
YER122C,GLO3,GLyOxalase,1482,,
YHR205W,SCH9,,2475,"Non-essential gene; null mutants shows slow exponential growth, increased entry and survival in stationary phase, higher innate thermotolerance and longer replicative lifespan; null mutation decreases respiratory growth and increases resistance to cisplatin, myriocin and hydroxyurea, but lowers resistance to MMS and quinine; mutations affect sensitivity to hyperosmotic and oxidative stresses
","Protein serine/threonine kinase involved in regulation of transcription by RNA polymerases I, II, and III; involved in regulation of sphingolipid biosynthesis, cell aging and responses to both oxidative and osmotic stresses; localizes to the nucleus, cytoplasm and vacuole membranes"
YBR028C,YPK3,,1578,,
YLR089C,ALT1,ALanine Transaminase,1779,"Non-essential gene; null mutant accumulates alanine and shows decreased growth rate in exponential phase; null mutant is defective in utilization of alanine as nitrogen source and accumulates reactive oxigen species; in systematic studies null mutants grow poorly under anaerobic growth conditions and are sensitive to amitrole, cycloheximide, neomycin, caspofungin, cordycepin, but resistant to myriocin
",
YGR177C,ATF2,AcetylTransFerase,1608,"Non-essential gene; null mutant shows reduced production of acetate esters and sensitivity to plant-derived allylbenzene eugenol; in systematic studies null mutant shows reduced calcium accumulation, sensitivity to cycloheximide and increased competitive fitness",
YOL086C,ADH1,Alcohol DeHydrogenase,1047,"Non-essential gene; null mutant cells are large and show decreased fermentative growth rate, sensitivity to oxidative stress, antifungal drugs, and other chemicals
","Alcohol dehydrogenase required for the reduction of acetaldehyde to ethanol during fermentation; also has methylglyoxal reductase activity, and is involved in NADH oxidation and the production of alcohol from amino acid breakdown via the Ehrlich pathway"
YGL256W,ADH4,Alcohol DeHydrogenase,1149,Non-essential gene; null mutant is heat sensitive and shows shortened chronological lifespan,NAD-dependent alcohol dehydrogenase that converts ethanol to acetylaldehyde; localizes to mitochodria
YBR145W,ADH5,Alcohol DeHydrogenase,1056,Non-essential gene; null mutant is sensitive to cycloheximide and streptomycin but resistant to nickel,NAD-dependent alcohol dehydrogenase that converts ethanol to acetylaldehyde
YDR541C,,,1035,,Aldehyde reductase with a role in detoxifying furfural
YHR104W,GRE3,Genes de Respuesta a Estres (stress responsive genes),984,,"Aldose reductase involved in the catabolism of galactose, arabinose, and D-xylose; involved in the cellular response to oxidative stress; localizes to the nucleus and cytoplasm in high-throughput studies"
YBR183W,YPC1,Yeast Phyto-Ceramidase,951,,
YPL087W,YDC1,Yeast DihydroCeramidase,954,,
YJR131W,MNS1,,1650,,
YOR149C,SMP3,Stable Maintenance of pSRI,1551,"Essential gene; in large-scale studies, repression confers decreased competitive fitness and sensitivity to human TDP-43 protein; conditional mutant displays chromosome instability at semi-permissive temperature and accumulates less Rnr3p at the permissive temperature in the presence of MMS; diploid heterozygous null mutant is sensitive to hydrogen peroxide
","Dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase; involved in GPI anchor biosynthesis and plasmid maintenance; localizes to endoplasmic reticulum, integral to membrane in high-throughput studies"
YNL048W,ALG11,Asparagine-Linked Glycosylation,1647,"Non-essential gene; null mutant is sensitive to elevated temperatures and to cell wall-affecting drugs caffeine and Calcofluor White; null mutant also grows slowly
",
YOR099W,KTR1,Kre Two Related,1182,,
YBR015C,MNN2,MaNNosyltransferase,1794,,
YJL186W,MNN5,MaNNosyltransferase,1761,,
YDR483W,KRE2,Killer toxin REsistant,1329,,
YHR204W,MNL1,MaNnosidase-Like protein,2391,"Non-essential gene; null mutant accumulates glycogen; overexpression causes increased levels of Man7GlcNAc2 and decreased levels of Man8GlcNAc2
",Mannosidase I with role in glycoprotein mannose trimming involved in glycoprotein ER-associated glycoprotein degradation pathway in the endoplasmic reticulum lumen
